Time_gap_onramp,Distance_gap_upcoming_vehicle,Time_gap_upcoming_vehicle,Is_gap_accepted,Response_time,Participant_no,Dwell_to_mirror
4,20,4,0,1661,20,0.696969696969697
4,20,4,0,2394,20,0.659574468085106
4,20,4,0,1806,20,0.611111111111111
4,20,4,0,1579,20,0.548387096774194
4,20,4,0,1510,21,0.6
4,20,4,0,1804,21,0.388888888888889
4,20,4,0,1654,21,0.484848484848485
4,20,4,0,1586,21,0.483870967741935
4,20,4,0,2036,21,0.575
4,20,4,0,1508,21,0.733333333333333
4,20,4,0,1535,21,0.766666666666667
4,20,4,0,1655,21,0.606060606060606
4,20,4,0,1530,21,0.5
4,20,4,0,1148,21,0.727272727272727
4,20,4,0,1391,21,0.518518518518518
4,20,4,0,1112,21,0.590909090909091
4,20,4,0,1794,21,0.4
4,20,4,0,2300,21,0.5
4,20,4,0,2206,21,0.636363636363636
4,20,4,0,1470,21,0.551724137931034
4,20,4,0,1645,21,0.6875
4,20,4,0,1808,21,0.583333333333333
4,20,4,0,1457,21,0.517241379310345
4,20,4,0,2037,21,0.625
4,20,4,0,1967,21,0.435897435897436
4,20,4,0,1255,21,0.88
4,20,4,0,1317,21,0.384615384615385
4,20,4,0,1753,21,0.342857142857143
4,20,4,0,1421,21,0.892857142857143
4,20,4,0,1056,21,0.904761904761905
4,20,4,0,2204,21,0.704545454545455
4,20,4,0,1247,21,0.625
4,20,4,0,1400,21,0.714285714285714
4,20,4,0,1766,22,0.742857142857143
4,20,4,0,2617,22,0.576923076923077
4,20,4,0,2028,22,0.475
4,20,4,0,2011,22,0.55
4,20,4,0,3085,22,0.311475409836066
4,20,4,0,2059,22,0.48780487804878
4,20,4,0,1797,22,0.4
4,20,4,0,2436,22,0.5625
4,20,4,0,1588,22,0.516129032258065
4,20,4,0,1687,22,0.575757575757576
4,20,4,0,1780,22,0.571428571428571
4,20,4,0,1803,22,0.638888888888889
4,20,4,0,1735,22,0.352941176470588
4,20,4,0,1722,22,0.441176470588235
4,20,4,0,1845,22,0.555555555555556
4,20,4,0,1802,22,0.5
4,20,4,0,1126,23,0.863636363636364
4,20,4,0,1153,23,0.695652173913043
4,20,4,0,1221,23,0.708333333333333
4,20,4,0,1021,23,0.85
4,20,4,0,1012,23,0.75
4,20,4,0,1554,23,0.612903225806452
4,20,4,0,1591,23,0.838709677419355
4,20,4,0,1056,23,0.857142857142857
4,20,4,0,1297,23,0.76
4,20,4,0,1395,23,0.740740740740741
4,20,4,0,1983,24,0.717948717948718
4,20,4,0,1418,24,0.75
4,20,4,0,1097,24,1
4,20,4,0,1307,24,0.923076923076923
4,20,4,0,1036,24,0.85
4,20,4,0,1110,24,0.681818181818182
4,20,4,0,961,24,0.842105263157895
4,20,4,0,1204,24,0.791666666666667
4,20,4,0,1272,24,0.68
4,20,4,0,1367,24,0.740740740740741
4,20,4,0,1746,24,0.882352941176471
4,20,4,0,1240,24,0.583333333333333
4,20,4,0,1057,24,0.80952380952381
4,20,4,0,1564,24,0.645161290322581
4,20,4,0,1248,24,0.791666666666667
4,20,4,0,1218,24,0.583333333333333
4,20,4,0,898,24,0.823529411764706
4,20,4,0,966,24,0.736842105263158
4,20,4,0,1267,24,0.72
4,20,4,0,1161,24,0.695652173913043
4,20,4,0,1189,24,0.652173913043478
4,20,4,0,1054,24,0.619047619047619
4,20,4,0,1123,24,0.727272727272727
4,20,4,0,1343,24,0.615384615384615
4,20,4,0,1413,24,0.642857142857143
4,20,4,0,1183,24,0.782608695652174
4,20,4,0,1945,25,0.710526315789474
4,20,4,0,1603,25,0.71875
4,20,4,0,2613,25,0.826923076923077
4,20,4,0,1935,25,0.789473684210526
4,20,4,0,2250,25,0.622222222222222
4,20,4,0,2305,25,0.630434782608696
4,20,4,0,2003,25,0.975
4,20,4,0,2002,25,0.675
